Terra e Ambiente,Scienze del sistema Terra e tecnologie per l'ambiente
Agroalimentare,Scienze bio-agroalimentari
Medicina,Scienze biomediche
Scienze della Vita,Scienze biomediche
Progettazione Molecolare,Scienze chimiche e tecnologie dei materiali
Materiali e Dispositivi,Scienze fisiche e tecnologie della materia
Sistemi di Produzione,Scienze fisiche e tecnologie della materia
ICT,Scienze fisiche e tecnologie della materia
Energia e Trasporti,"Ingegneria, ICT e tecnologie per l'energia e i trasporti"
Identità Culturale,"Ingegneria, ICT e tecnologie per l'energia e i trasporti"
Patrimonio Culturale,"Scienze umane e sociali, patrimonio culturale"
